player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1627788,Furkan Korkmaz,1610612755,PHI,25,6-7,79,202,None,Turkey,2016,1,26,33,117,33,20,-1.2,0.021,0.09,0.178,0.552,0.102
1629216,Gabe Vincent,1610612748,MIA,26,6-2,74,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,64,606,137,154,-0.6,0.017,0.069,0.17,0.534,0.135
202066,Garrett Temple,1610612740,NOP,36,6-6,78,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,24,50,16,13,-5.9,0.022,0.07,0.123,0.546,0.119
1629726,Garrison Mathews,1610612737,ATL,26,6-6,78,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,52,238,69,25,-5.5,0.013,0.081,0.135,0.569,0.056
203914,Gary Harris,1610612753,ORL,28,6-4,76,210,Michigan State,USA,2014,1,19,46,386,93,57,-2.6,0.018,0.068,0.126,0.622,0.067
1627780,Gary Payton II,1610612744,GSW,30,6-2,74,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,18,77,50,24,3.1,0.059,0.118,0.096,0.725,0.106
1629018,Gary Trent Jr.,1610612761,TOR,24,6-5,77,209,Duke,USA,2018,2,37,63,1116,167,100,-2,0.013,0.072,0.208,0.561,0.073
201588,George Hill,1610612754,IND,36,6-4,76,188,Indiana-Purdue Indianapolis,USA,2008,1,26,44,206,81,102,1.1,0.017,0.078,0.107,0.585,0.174
1627777,Georges Niang,1610612755,PHI,29,6-7,79,230,Iowa State,USA,2016,2,50,74,606,176,75,2.7,0.013,0.109,0.162,0.61,0.076
203507,Giannis Antetokounmpo,1610612749,MIL,28,7-0,84,243,None,Greece,2013,1,15,61,1898,717,343,6.5,0.066,0.267,0.374,0.604,0.314
1629048,Goga Bitadze,1610612753,ORL,23,6-11,83,250,None,Georgia,2019,1,18,33,121,98,32,6.6,0.111,0.154,0.138,0.566,0.124
